Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
Aruba,ABW,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132.0,2276.0,,,,,
Africa Eastern and Southern,AFE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,152300.0,160400.0,157100.0,155800.0,150400.0,173500.0,193500.0,161800.0,170300.0,188200.0,204800.0,211800.0,206700.0,208000.0,207500.0,211900.0,195400.0,203000.0,202200.0,220100.0,232100.0,227200.0,220400.0,233800.0,233400.0,212500.0,231500.0,259600.0,253900.0,268400.0,282913.0,288922.0,267907.0,289028.0,300359.0,321298.0,319498.0,359120.0,318638.0,327145.0,470912.300051136,500629.946597042,514462.289437164,548834.772,534810.303494447,556341.0,562927.0,630147.0,705127.484622134,717795.3,286064.1974,399895.848,,
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,4000.0,4700.0,4800.0,3700.0,4300.0,4700.0,4500.0,4900.0,4800.0,4900.0,4200.0,4200.0,5400.0,5700.0,6200.0,6400.0,5800.0,6000.0,5900.0,5200.0,5300.0,5300.0,5300.0,5100.0,7000.0,7300.0,7500.0,4600.0,1900.0,3400.0,3409.0,,,,,,,,,,21677.0,25021.0,17775.0,21696.0,25920.0,23532.0,22770.0,24207.0,10454.0,7334.0,4635.714,2865.737,,
Africa Western and Central,AFW,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,67700.0,67600.0,67600.0,72400.0,69700.0,79700.0,88300.0,100800.0,105700.0,112800.0,116600.0,122800.0,116700.0,121300.0,119100.0,122300.0,109400.0,103600.0,98300.0,91400.0,85000.0,94700.0,81900.0,68900.0,70100.0,66400.0,62100.0,78000.0,78400.0,69400.0,71122.0,60104.0,52346.0,49482.0,56301.0,,,,,,120773.319968515,138169.497897164,146632.960288273,155038.0,145526.823309353,164614.0,157788.0,151203.0,157126.726523888,158874.79,92611.349,134532.013,,
Angola,AGO,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,2600.0,4800.0,5000.0,11900.0,12800.0,15000.0,13900.0,22400.0,10700.0,13100.0,11100.0,11100.0,11000.0,6800.0,6900.0,7000.0,6900.0,5600.0,7600.0,7300.0,7700.0,7300.0,7400.0,5100.0,4399.0,4354.0,4343.0,4633.0,4849.0,4948.0,4965.0,5277.0,3361.0,3236.0,17060.0,12282.0,13072.0,14496.0,13716.0,13116.0,15482.0,13494.0,13978.0,13647.0,3792.0,3805.0,,
Albania,ALB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,600.0,1400.0,1900.0,1100.0,2700.0,3885.0,3974.0,3762.0,3800.0,4104.0,4309.0,4481.0,4930.0,5058.0,5140.0,9412.0,10373.2109418273,10309.1791376912,11196.0,1992.0,,306.0,1904.0,2935.0,2558.0,1274.0,1471.0,,
Andorra,AND,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,145300.0,151200.0,159800.0,173400.0,201400.0,215500.0,252000.0,274500.0,295700.0,314400.0,330000.0,341600.0,324500.0,352300.0,349000.0,344800.0,340700.0,334500.0,355500.0,356900.0,354400.0,319800.0,370600.0,390200.0,405800.0,388600.0,408400.0,407400.0,402500.0,441200.0,470300.0,470936.0,473898.0,493857.0,553147.0,431300.0,471714.0,516679.0,504211.0,811221.0,1065038.01071509,1093318.56079486,1159025.93858519,1222183.5,1289638.76744056,1375862.0,1476812.0,1503553.38,1539592.75353017,1599362.272,664879.575,920600.238,,
United Arab Emirates,ARE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,4700.0,5400.0,6200.0,6300.0,7200.0,8300.0,9500.0,10000.0,8700.0,9500.0,10100.0,10500.0,12200.0,12800.0,15100.0,16000.0,18800.0,19400.0,26300.0,30100.0,34000.0,34200.0,38000.0,39000.0,41100.0,44400.0,48330.0,50783.0,54952.0,71224.0,87217.0,,,,,170588.0,240855.107016004,269521.0,311758.0,327076.0,352224.0,437638.0,463947.0,459137.0,455956.0,426157.272,185260.0,234612.0,,
Argentina,ARG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,71700.0,75600.0,79000.0,71100.0,79000.0,89800.0,90000.0,93600.0,96500.0,103700.0,114400.0,113800.0,103900.0,109100.0,101400.0,100500.0,102300.0,111800.0,106200.0,101600.0,114000.0,78500.0,86300.0,83300.0,99500.0,112400.0,131400.0,171600.0,144600.0,183600.0,168815.0,124493.0,113178.0,91657.0,90518.0,81298.0,74162.0,79465.0,74649.0,74546.0,92847.5065402624,90214.5205338809,101716.268913446,145136.020724733,134521.0,145585.0,149334.0,146631.0,161862.0,163106.0,27447.0,54218.0,,
Armenia,ARM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,4300.0,4500.0,2900.0,4406.0,2804.0,2997.0,3842.0,5657.0,5939.0,6177.0,5975.0,6681.0,7632.0,8761.0,5561.0,6043.0,852.0,0.0,,,,814.0,2133.0,705.0,1598.0,,
